sample_index,axis,sensor_a,sensor_b,x_a,x_b,y_a,y_b,baseline_distance,mean_field,diff_field,gradient_field
0,2.523,47393.139,47396.679,393671.588863928,393672.077176712,3107814.29430092,3107815.71259237,1.5000000040655377,47394.909,-3.539999999993597,-2.3599999935992857
1,2.545,47392.953,47396.66,393671.46458935,393671.9459399,3107814.33359493,3107815.75426437,1.500000003422216,47394.806500000006,-3.7070000000021537,-2.471333327696478
2,2.501,47393.065,47396.77,393671.339335127,393671.814770737,3107814.36593197,3107815.7885918,1.5000000034704926,47394.917499999996,-3.7049999999944703,-2.469999994281569
3,2.508,47392.996,47396.642,393671.215024769,393671.681645696,3107814.39076205,3107815.81633734,1.4999999988656092,47394.819,-3.6460000000006403,-2.4306666685053107
4,2.486,47393.065,47396.754,393671.08940853,393671.548719855,3107814.40908016,3107815.83702732,1.499999995328911,47394.9095,-3.6889999999984866,-2.4593333409908347
6,2.471,47393.042,47396.742,393670.84024802,393671.277126367,3107814.42596691,3107815.86093636,1.5000000040435948,47394.892,-3.6999999999970896,-2.4666666600152594
8,2.477,47393.199,47396.8,393670.588739693,393671.002466904,3107814.42218986,3107815.86400461,1.4999999927842587,47394.999500000005,-3.6010000000023865,-2.400666678216651
9,2.455,47393.21,47396.804,393670.461562436,393670.864359735,3107814.4145347,3107815.85944105,1.5000000078780837,47395.007,-3.5939999999973224,-2.395999987414289
11,2.461,47393.262,47396.649,393670.207863227,393670.582809889,3107814.39085498,3107815.84323751,1.5000000043457349,47394.9555,-3.3869999999951688,-2.2579999934549995
12,2.418,47393.061,47396.838,393670.081611228,393670.439007702,3107814.37650825,3107815.83330877,1.4999999981870458,47394.9495,-3.7770000000018626,-2.5180000030445875
13,2.434,47393.202,47396.863,393669.955541852,393670.293356058,3107814.36169138,3107815.82315694,1.500000006855103,47395.0325,-3.661000000000058,-2.4406666555126915
14,2.492,47393.131,47396.88,393669.828025787,393670.147458639,3107814.34756598,3107815.81315891,1.4999999940985427,47395.0055,-3.7489999999961583,-2.4993333431639115
16,2.424,47393.044,47396.849,393669.566633401,393669.856883251,3107814.32442326,3107815.79607371,1.5000000074980144,47394.946500000005,-3.805000000000291,-2.5366666539868854
17,2.409,47393.088,47396.839,393669.434824337,393669.710125974,3107814.31610128,3107815.79062121,1.5000000049433202,47394.9635,-3.7509999999965657,-2.500666658423313
20,2.44,47392.954,47396.723,393669.029131684,393669.269881742,3107814.31011336,3107815.79066711,1.4999999989762807,47394.8385,-3.769000000000233,-2.5126666683816654
21,2.4265,47393.143,47396.743,393668.891554698,393669.122137658,3107814.31503432,3107815.79720553,1.4999999990610988,47394.943,-3.6000000000058208,-2.4000000015061222
22,2.46466666666667,47393.184,47396.714,393668.752528385,393668.974225995,3107814.32362519,3107815.80715145,1.499999997792446,47394.949,-3.529999999998836,-2.353333336795964
23,2.46133333333333,47393.12,47396.771,393668.612074336,393668.826168806,3107814.33585593,3107815.8204985,1.500000000824732,47394.9455,-3.650999999998021,-2.4339999986604153
24,2.4965,47393.087,47396.796,393668.470218143,393668.677991441,3107814.35162782,3107815.83716821,1.4999999979043086,47394.9415,-3.709000000002561,-2.472666670123005
28,2.47627777777778,47393.089,47396.687,393667.889412008,393668.084705263,3107814.44639328,3107815.93362579,1.499999998088009,47394.888,-3.5979999999981374,-2.398666669722911
29,2.403,47393.125,47396.788,393667.741054558,393667.936424833,3107814.47679568,3107815.96401807,1.499999994137982,47394.9565,-3.6630000000004657,-2.442000009543676
31,2.457,47393.007,47396.616,393667.440859375,393667.640216446,3107814.54379416,3107816.03048739,1.5000000006229586,47394.811499999996,-3.6090000000040163,-2.405999999003452
37,2.48033333333333,47392.977,47396.578,393666.51475876,393666.759498154,3107814.7775639,3107816.25746343,1.4999999964579473,47394.7775,-3.6010000000023865,-2.4006666723371164
38,2.467,47392.923,47396.639,393666.357551937,393666.614173088,3107814.81928605,3107816.29717156,1.4999999989048498,47394.781,-3.7160000000003492,-2.4773333351422675
39,2.52508333333333,47392.936,47396.629,393666.199668687,393666.469438766,3107814.86141757,3107816.33695954,1.500000000017098,47394.7825,-3.6929999999993015,-2.4619999999714706
40,2.45416666666667,47392.966,47396.763,393666.041171934,393666.325351959,3107814.90384535,3107816.37667993,1.4999999956588714,47394.864499999996,-3.7969999999986612,-2.5313333406583363
41,2.44527777777778,47392.994,47396.701,393665.880070612,393666.184023265,3107814.946886,3107816.41576747,1.4999999957543688,47394.8475,-3.7070000000021537,-2.471333340329682
47,2.42616666666667,47393.064,47396.728,393664.923237643,393665.336023492,3107815.19960145,3107816.641686,1.500000002092969,47394.896,-3.6640000000043074,-2.442666663261255
48,2.489,47393.076,47396.9,393664.772135266,393665.188979278,3107815.23770417,3107816.67862092,1.500000003711602,47394.988,-3.824000000000524,-2.549333327025609
49,2.48744444444444,47393.0,47396.791,393664.621475259,393665.042526144,3107815.27480438,3107816.71449745,1.49999999453614,47394.8955,-3.790999999997439,-2.527333342537623
51,2.4515,47393.096,47396.905,393664.321664337,393664.751574307,3107815.34548442,3107816.78255693,1.4999999936633446,47395.000499999995,-3.809000000001106,-2.5393333440613244
53,2.43773148148148,47393.24,47396.999,393664.02413984,393664.463501125,3107815.41072363,3107816.8449348,1.5000000065940222,47395.1195,-3.7590000000054715,-2.5059999889872344
58,2.44283333333333,47393.55,47397.315,393663.29205986,393663.757625212,3107815.5473145,3107816.97323488,1.5000000088510377,47395.4325,-3.764999999999418,-2.5099999851888755
64,2.45675,47393.595,47397.354,393662.440024902,393662.938616025,3107815.67857617,3107817.09328706,1.5000000034511203,47395.4745,-3.7589999999981956,-2.5059999942331252
82,2.387,47394.105,47397.967,393660.029834326,393660.648769913,3107816.91807158,3107818.28442393,1.5000000017223045,47396.036,-3.8619999999937136,-2.574666663706236
84,2.381,47394.177,47398.071,393659.776526866,393660.396902698,3107817.18105754,3107818.54675656,1.4999999955651486,47396.124,-3.894000000000233,-2.596000007675405
87,2.394,47394.241,47398.176,393659.39730489,393660.019388273,3107817.58837391,3107818.95329599,1.500000006386209,47396.2085,-3.9349999999976717,-2.6233333221630115
88,2.40216666666667,47394.277,47398.061,393659.27090646,393659.893438231,3107817.72236688,3107819.0870845,1.499999996052013,47396.169,-3.7839999999996508,-2.5226666733060705
90,2.416,47394.347,47398.105,393659.01788822,393659.641074862,3107817.9798931,3107819.3443118,1.4999999930902115,47396.226,-3.75800000000163,-2.5053333448753023
91,2.372,47394.361,47398.232,393658.891150376,393659.514616234,3107818.10105622,3107819.46534736,1.4999999968109126,47396.2965,-3.871000000006461,-2.580666672157622
99,2.366,47394.299,47398.205,393657.867763598,393658.491557257,3107818.78187025,3107820.14601154,1.4999999961135064,47396.252,-3.9060000000026776,-2.604000006748738
107,2.341,47394.454,47398.155,393656.820438212,393657.44234941,3107818.93135115,3107820.29635169,1.5000000040473922,47396.3045,-3.7010000000009313,-2.4673333266764437
110,2.357,47394.426,47397.996,393656.421484602,393657.042151459,3107818.90941805,3107820.27498483,1.4999999925661467,47396.210999999996,-3.569999999999709,-2.3800000117948534
112,2.36638888888889,47394.355,47398.012,393656.153691937,393656.774034779,3107818.88983108,3107820.25554509,1.4999999994465456,47396.1835,-3.6569999999992433,-2.4380000008990432
113,2.38011111111111,47394.394,47397.989,393656.019423069,393656.639577736,3107818.88099128,3107820.24679075,1.5000000009475352,47396.1915,-3.595000000001164,-2.396666665153492
114,2.3895,47394.531,47398.157,393655.884926375,393656.504921565,3107818.87382622,3107820.23969809,1.5000000002582705,47396.344,-3.6259999999965657,-2.4173333329148265
115,2.444,47394.362,47398.094,393655.750290153,393656.370048258,3107818.86903568,3107820.23501514,1.4999999979986607,47396.228,-3.731999999996333,-2.48800000331711
116,2.40066666666667,47394.318,47397.98,393655.615491903,393656.235053829,3107818.86733016,3107820.23339861,1.4999999965634445,47396.149000000005,-3.6620000000039,-2.4413333389291183
122,2.43066666666667,47394.486,47398.016,393654.806281098,393655.423923061,3107818.95383123,3107820.32076883,1.499999998989518,47396.251000000004,-3.530000000006112,-2.3533333349227417
123,2.40733333333333,47394.38,47397.882,393654.671710068,393655.288911729,3107818.98844843,3107820.35558489,1.4999999971044045,47396.130999999994,-3.5020000000004075,-2.334666671173772
125,2.44216666666667,47394.488,47397.989,393654.403158552,393655.019395211,3107819.07702339,3107820.4445951,1.5000000003351863,47396.2385,-3.5010000000038417,-2.3339999994810112
128,2.41670833333333,47394.566,47398.09,393654.002317259,393654.616894847,3107819.25671114,3107820.62502922,1.4999999932332937,47396.327999999994,-3.5239999999976135,-2.3493333439299082
131,2.44883333333333,47394.462,47398.041,393653.604536169,393654.217199862,3107819.48385011,3107820.85302621,1.499999997862606,47396.2515,-3.5789999999979045,-2.3860000033984843
161,2.554,47396.337,47399.881,393650.409369227,393649.565554896,3107821.47328028,3107822.71343244,1.5000000018542194,47398.109,-3.544000000001688,-2.3626666637471905
162,2.569,47396.386,47400.073,393650.27153014,393649.422068675,3107821.48082666,3107822.71711757,1.4999999980857266,47398.2295,-3.686999999998079,-2.4580000031355755
163,2.581,47396.367,47400.084,393650.128872359,393649.279782841,3107821.47306245,3107822.70960885,1.5000000029877771,47398.2255,-3.717000000004191,-2.477999995066986
164,2.61816666666667,47396.422,47399.956,393649.982310264,393649.137519176,3107821.44895332,3107822.68844032,1.500000002083486,47398.189,-3.5339999999996508,-2.355999996727305
165,2.612,47396.513,47400.076,393649.829846855,393648.997011722,3107821.40571754,3107822.6532694,1.5000000005753906,47398.2945,-3.563000000001921,-2.375333332423451
166,2.658,47396.41,47400.227,393649.671453963,393648.858027696,3107821.34229496,3107822.60258767,1.5000000024409588,47398.3185,-3.81699999999546,-2.544666662522689
168,2.705,47396.436,47400.226,393649.335041229,393648.585441553,3107821.15191504,3107822.45118419,1.4999999994753273,47398.331000000006,-3.790000000000873,-2.526666667551031
169,2.726,47396.607,47400.116,393649.149135612,393648.459223708,3107821.02129601,3107822.35322002,1.5000000012868626,47398.3615,-3.5089999999981956,-2.3393333313251965
170,2.763,47396.64,47400.093,393648.951360652,393648.339468474,3107820.86956732,3107822.23908839,1.4999999993859834,47398.366500000004,-3.4530000000013388,-2.3020000009432033
171,2.779,47396.566,47400.106,393648.728727393,393648.238931226,3107820.69503772,3107822.11281757,1.4999999963844755,47398.335999999996,-3.540000000000873,-2.3600000056890074
172,2.794,47396.544,47400.239,393648.48540421,393648.153218951,3107820.5064423,3107821.96919756,1.499999999035069,47398.3915,-3.694999999999709,-2.4633333349177704
173,2.8,47396.48,47400.17,393648.202559984,393648.100948213,3107820.31006946,3107821.80662385,1.4999999981381955,47398.325,-3.6899999999950523,-2.460000003050061
174,2.82716666666667,47396.488,47400.261,393647.918589038,393648.043521334,3107820.12099676,3107821.61578501,1.4999999969280406,47398.3745,-3.7730000000010477,-2.5153333384853664
175,2.862,47396.496,47400.153,393647.743524592,393647.870714031,3107819.92401637,3107821.41861426,1.500000002007691,47398.3245,-3.6569999999992433,-2.4379999967363286
176,2.893,47396.425,47400.042,393647.564762239,393647.694952998,3107819.72370958,3107821.21804902,1.499999998576134,47398.2335,-3.61699999999837,-2.4113333356211903
177,2.899,47396.34,47400.04,393647.38192566,393647.516451224,3107819.52415905,3107821.0181145,1.5000000047811497,47398.19,-3.7000000000043656,-2.466666658807242
178,2.93,47396.351,47400.128,393647.195484551,393647.334591043,3107819.32955066,3107820.82308653,1.5000000034525343,47398.239499999996,-3.7769999999945867,-2.517999994200737
179,2.96,47396.498,47400.154,393647.005129136,393647.149550565,3107819.14418798,3107820.63721927,1.4999999943793263,47398.326,-3.6560000000026776,-2.4373333424680887
180,2.982,47396.431,47400.042,393646.81080202,393646.961272695,3107818.97226644,3107820.46470022,1.5000000042405046,47398.2365,-3.611000000004424,-2.4073333265307437
181,2.988,47396.415,47400.12,393646.612454003,393646.769710153,3107818.81775813,3107820.30949219,1.5000000008165348,47398.2675,-3.7050000000017462,-2.4699999986566032
182,3.013,47396.289,47400.006,393646.410604775,393646.574265538,3107818.68421769,3107820.17526267,1.4999999925850962,47398.1475,-3.717000000004191,-2.478000012252215
183,3.025,47396.324,47400.012,393646.204761614,393646.375373341,3107818.57482752,3107820.06509315,1.5000000028440172,47398.168000000005,-3.688000000001921,-2.458666662006287
184,3.05,47396.263,47400.109,393645.994903617,393646.173016345,3107818.49213648,3107819.98152422,1.4999999950240224,47398.186,-3.84599999999773,-2.5640000085040913
