sample_index,axis,baseline_distance,signal_0,signal_1
0,2.514,1.4999999981048533,47319.8305,2.339333336287717
1,2.538,1.4999999932729569,47319.788,2.4000000107671497
8,2.56,1.4999999977453078,47319.655,2.4520000036855927
9,2.554,1.500000001463061,47319.696,2.3773333310138067
10,2.545,1.499999997408127,47319.694,2.394666670802392
11,2.569,1.4999999986892811,47319.7315,2.292666668669019
12,2.575,1.499999998960069,47319.795,2.325333334943828
13,2.606,1.500000002299853,47319.743,2.23866666323438
14,2.637,1.499999999089254,47319.7755,2.2433333346940465
15,2.622,1.4999999973588922,47319.823,2.405333337568613
16,2.628,1.500000001229118,47319.81,2.239999998164905
19,2.658,1.5000000021511573,47319.8575,2.313999996679968
20,2.665,1.4999999976799243,47319.718,2.3306666702710053
21,2.689,1.4999999996689086,47319.794,2.414666667201668
22,2.674,1.499999997256279,47319.812,2.169333337301907
23,2.695,1.4999999993449042,47319.7875,2.230000000974685
25,2.705,1.499999995994039,47319.8345,2.280666672754054
27,2.717,1.4999999969428406,47319.8455,2.264666671285286
28,2.726,1.500000001124809,47319.859,2.330666664923271
29,2.8,1.500000000717985,47319.8465,2.443333332159547
30,2.742,1.5000000013312127,47319.8285,2.2833333313040214
31,2.769,1.5000000052663167,47319.855,2.3773333249860693
32,2.73683333333333,1.5000000017196753,47319.8205,2.25266666408464
34,2.747,1.499999998583228,47319.7795,2.240666668781108
35,2.779,1.4999999987811037,47319.764500000005,2.206000001793328
36,2.809,1.5000000009795034,47319.7705,2.2793333318460487
38,2.84,1.5000000005654794,47319.694,2.2106666658325382
39,2.83025,1.4999999983686438,47319.7125,2.2873333358188748
40,2.868,1.4999999982217471,47319.696,2.353333336127289
41,2.831,1.5000000005947778,47319.592,2.322666665748364
44,2.825,1.499999999260296,47319.5925,2.271333334452905
46,2.853,1.5000000039170238,47319.387,2.225333327519611
47,2.862,1.4999999989202168,47319.41650000001,2.2940000016506112
49,2.877,1.50000000154474,47319.3385,2.3153333309476998
50,2.883,1.499999996788225,47319.315,2.337333338338808
52,2.914,1.5000000002229166,47319.3615,2.2046666663394947
60,2.899,1.4999999963280155,47319.2555,2.3593333391118283
61,2.93,1.499999999709597,47319.072,2.338666667120524
62,2.905,1.499999995808034,47319.197,2.3266666731723644
63,2.893,1.5000000004970782,47319.063,2.2466666659239003
66,2.945,1.4999999969318123,47319.0295,2.364666671502601
73,2.92,1.500000001396676,47319.05,2.374666664454293
92,2.837,1.499999997845537,47319.0705,2.2820000032793253
93,2.816,1.5000000071603177,47319.086,2.203999989481862
99,2.846,1.5000000078830422,47318.815,2.19066665515396
106,2.83475,1.5000000003889529,47318.7265,2.3233333327312766
116,2.95133333333333,1.500000004074969,47318.4495,2.2553333272074774
120,2.982,1.500000000646324,47318.426,2.399999998969762
121,2.966,1.4999999971162654,47318.364,2.293333337743795
123,2.96,1.500000002085475,47318.418000000005,2.2586666635257457
124,2.973,1.4999999960935757,47318.4515,2.267333339241642
