sample_index,axis,baseline_distance,signal
0,8.59292596304919,1.5000000006188594,47384.9365
1,8.61736842819809,1.5000000025228502,47385.0825
2,8.6417670916842,1.5000000032334626,47385.092
3,8.66611465728389,1.500000005320256,47385.115
4,8.69040403617224,1.500000000496339,47385.297
5,8.71462834265351,1.4999999989250632,47385.363
6,8.73878087900258,1.500000000085369,47385.3015
7,8.76285513405522,1.49999999688013,47385.4265
8,8.78684476716092,1.499999995472587,47385.3905
9,8.81074360737271,1.4999999974074976,47385.3655
10,8.83454563009502,1.500000001460659,47385.4405
11,8.85824494973499,1.5000000016216612,47385.528000000006
12,8.88183580659911,1.5000000010241277,47385.4355
13,8.90531254708917,1.4999999922364726,47385.599
14,8.92866961472084,1.5000000010840984,47385.4885
15,8.95190152845045,1.4999999942587954,47385.533500000005
16,8.97500287454583,1.5000000023580045,47385.577000000005
17,8.99796828571096,1.5000000040105193,47385.621
18,9.02079242595225,1.4999999990521702,47385.592
19,9.04346997594822,1.5000000040951535,47385.5755
20,9.06599561912034,1.4999999986447587,47385.585
21,9.08836403059532,1.500000006208596,47385.6035
22,9.11056986054414,1.500000000736086,47385.567
23,9.13260771758117,1.499999994446508,47385.5795
24,9.15447215980436,1.500000001932139,47385.672
25,9.17615767822391,1.4999999983754329,47385.564
26,9.1976586869472,1.4999999992144697,47385.537
27,9.21896951011578,1.5000000050249511,47385.62
28,9.24008438066049,1.4999999934044597,47385.6295
29,9.2609974258066,1.4999999996961904,47385.5165
30,9.28170266712736,1.5000000034212932,47385.592
31,9.3021940156676,1.499999992354365,47385.513
32,9.32246526639057,1.499999999390227,47385.5245
33,9.34251009785771,1.4999999932699415,47385.5505
34,9.36232206863915,1.5000000022160196,47385.544
35,9.38189462331299,1.4999999950899754,47385.561
36,9.40122108450661,1.500000001520225,47385.606
37,9.42029466246072,1.5000000067342318,47385.575
38,9.43910845770568,1.4999999981105987,47385.7045
39,9.45765547503523,1.5000000054517353,47385.5815
40,9.47592863053736,1.4999999977888985,47385.6275
41,9.49392076456708,1.5000000004237235,47385.5475
42,9.51162465449894,1.5000000087617982,47385.703
43,9.52903302304792,1.5000000043265205,47385.748
44,9.54613856244937,1.4999999994840625,47385.7115
45,9.56293394355086,1.500000000154568,47385.7945
46,9.57941183745134,1.500000006745441,47385.9075
47,9.59556493281747,1.499999997884756,47386.0315
48,9.61138595317333,1.4999999994306878,47385.992
49,9.62686767745357,1.4999999969498516,47386.135
50,9.64200296012814,1.5000000067233776,47386.1515
51,9.65678475271324,1.500000001991695,47386.262
52,9.67120612933293,1.4999999913960484,47386.351
53,9.68526030603401,1.4999999986137198,47386.547
54,9.69894067697617,1.5000000047609965,47386.5995
55,9.71224083189535,1.5000000004700558,47386.673
56,9.72515458495664,1.4999999954381142,47386.683000000005
57,9.73767599054699,1.5000000032033547,47386.86
58,9.74979937372774,1.5000000034696437,47386.936
59,9.76151935484324,1.5000000028623752,47387.012
60,9.7728308809588,1.4999999984954824,47387.147
