sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,lowrank_component,sparse_component
0,2.65152777777778,1.4999999946908529,47392.28,47393.071899872804,-0.7918998728055158,-0.814505482756067,0.18010605687359008,-4.522365859843009,4.522365859843009,0.7918998728055158,47393.071899872804,0.0
1,2.628,1.499999998974728,47392.2405,47393.11847885352,-0.8779788535175612,-0.8109126833781678,0.18262446135343488,-4.44032895357211,4.44032895357211,0.8779788535175612,47393.11847885352,0.0
2,2.612,1.5000000021750794,47392.339,47393.16587806658,-0.8268780665821396,-0.7982066260488604,0.18514286583327969,-4.3113010185747145,4.3113010185747145,0.8268780665821396,47393.16587806658,0.0
3,2.66070833333333,1.4999999981738403,47392.4055,47393.21294346218,-0.8074434621812543,-0.7759827490790485,0.19101824506591267,-4.062348854745725,4.062348854745725,0.8074434621812543,47393.21294346218,0.0
4,2.597,1.4999999992996842,47392.4915,47393.25982715869,-0.7683271586938645,-0.7411356947915111,0.1933294028173036,-3.8335384271159456,3.8335384271159456,0.7683271586938645,47393.25982715869,0.0
5,2.575,1.4999999978301537,47392.5135,47393.30644868649,-0.7929486864886712,-0.6937941790787995,0.18923613432529163,-3.666288056202769,3.666288056202769,0.7929486864886712,47393.30644868649,0.0
7,2.56,1.4999999919248796,47392.631,47393.352970282074,-0.7219702820730163,-0.6376579019334814,0.18514286583327969,-3.4441397407539833,3.4441397407539833,0.7219702820730163,47393.352970282074,0.0
9,2.545,1.4999999927711023,47392.7785,47393.39891561029,-0.6204156102903653,-0.5692159891954766,0.18262446135343488,-3.1168660812303086,3.1168660812303086,0.6204156102903653,47393.39891561029,0.0
10,2.569,1.4999999958745247,47392.9815,47393.44385926049,-0.4623592604912119,-0.49399177211146,0.18010605687359008,-2.7427826730900837,2.7427826730900837,0.4623592604912119,47393.44385926049,0.0
12,2.554,1.499999994935061,47393.1215,47393.48732623139,-0.3658262313911109,-0.4323205222107289,0.17318813621016355,-2.4962479051458155,2.4962479051458155,0.3658262313911109,47393.48732623139,0.0
14,2.55957407407407,1.4999999989303825,47393.1565,47393.52925235921,-0.3727523592096986,-0.359937153213347,0.166270215546737,-2.1647722776432685,2.1647722776432685,0.3727523592096986,47393.52925235921,0.0
16,2.57861111111111,1.4999999969498483,47393.359,47393.56990085194,-0.2109008519400959,-0.2721108740273242,0.1611547620581601,-1.688506566930492,1.688506566930492,0.2109008519400959,47393.56990085194,0.0
17,2.64116666666667,1.5000000023560196,47393.4785,47393.60892550842,-0.13042550842510536,-0.19734144941321574,0.1560393085695832,-1.2646906168852607,1.2646906168852607,0.13042550842510536,47393.60892550842,0.0
18,2.604,1.4999999988749169,47393.433000000005,47393.64628590959,-0.21328590958728455,-0.14192453503104238,0.1555970960473969,-0.9121284306476408,0.9121284306476408,0.21328590958728455,47393.64628590959,0.0
20,2.58950925925926,1.5000000033663323,47393.541,47393.68249836551,-0.14149836551223416,-0.08601522043156568,0.15515488352521062,-0.5543829396616403,0.5543829396616403,0.14149836551223416,47393.68249836551,0.0
21,2.56333333333333,1.499999995770759,47393.786,47393.7175337694,0.06846623060118873,-0.029266341152025335,0.15371782883287402,-0.1903900242036625,0.1903900242036625,0.06846623060118873,47393.7175337694,0.0
22,2.60116666666667,1.4999999925230885,47393.8035,47393.750990788765,0.05250921123661101,-0.007045492640625323,0.15228077414053742,-0.04626646193775685,0.04626646193775685,0.05250921123661101,47393.750990788765,0.0
23,2.65916666666667,1.4999999947455047,47393.8195,47393.78310703105,0.036392968948348425,0.018635314793856297,0.15371782883287402,0.12123066618457831,0.12123066618457831,0.036392968948348425,47393.78310703105,0.0
24,2.591,1.5000000025592268,47393.9515,47393.8141424,0.1373576000041794,0.06466329590087601,0.15515488352521062,0.4167661012769158,0.4167661012769158,0.1373576000041794,47393.8141424,0.0
