sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual
0,0.650017836363899,1.4999999960502668,47271.869,47286.84726231828,-14.978262318283669,-14.784698723487963,1.965953901322013,-7.520368973832976,7.520368973832976,14.978262318283669
1,0.651678816496944,1.5000000019032969,47271.84450000001,47286.79362417341,-14.949124173406744,-14.716688021456017,1.946526348521543,-7.560487446077405,7.560487446077405,14.949124173406744
2,0.653317898269607,1.49999999898805,47271.995,47286.74009243176,-14.745092431759986,-14.67666505667564,1.9270987957210726,-7.615938056348583,7.615938056348583,14.745092431759986
3,0.654934045182311,1.5000000010106074,47271.96000000001,47286.68666698184,-14.726666981834569,-14.649397658464295,1.9050126337518913,-7.689921525408756,7.689921525408756,14.726666981834569
4,0.656526307052596,1.499999996578331,47272.109,47286.63334771215,-14.52434771215485,-14.641756830762866,1.8829264717827099,-7.776064041895592,7.776064041895592,14.52434771215485
5,0.658093829537805,1.5000000028038494,47272.2035,47286.5801345113,-14.376634511296288,-14.625154369994966,1.8402018387561665,-7.947581652173783,7.947581652173783,14.376634511296288
6,0.659635867731405,1.5000000039442452,47272.0905,47286.52702726799,-14.43652726799337,-14.617880089248096,1.7974772057296233,-8.13244253815974,8.13244253815974,14.43652726799337
7,0.661151795438774,1.5000000074560642,47272.0155,47286.474025870986,-14.458525870984886,-14.6148227661785,1.7446396580220154,-8.376986444724093,8.376986444724093,14.458525870984886
8,0.662641118453242,1.4999999980104226,47271.8405,47286.42113020915,-14.580630209151423,-14.608593400743201,1.6918021103144076,-8.634930357208452,8.634930357208452,14.580630209151423
9,0.664103483378762,1.4999999966428732,47271.5395,47286.36834017137,-14.828840171372576,-14.583469659637355,1.6301455458587857,-8.946115085665287,8.946115085665287,14.828840171372576
10,0.665538690319441,1.500000005389819,47271.432,47286.315655646686,-14.883655646684929,-14.555451431863832,1.568488981403164,-9.279919466723051,9.279919466723051,14.883655646684929
