track_id,source_file,method,input_dir,signal_column,num_samples,signal_mean,signal_std,background_std,residual_mean,residual_std,residual_rms,peak_abs_residual,response_mean,response_std,peak_response,baseline_family,num_modes,keep_modes,mirror_pad_size,reconstruction_error,lowest_center_frequency,highest_center_frequency
A1-10.1_preprocessed,A1-10.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27509,47327.831561416264,64.18806829142939,64.18804962957944,1.8964075290049803e-09,0.004875527794596815,0.004875527794597183,0.02504076922745762,0.7469015217803624,0.6062447051707626,20.427226221947887,vmd,3,1,800,6.194138930792525e-05,1.2298267519225766e-10,0.3226041628685735
A1-11.1_preprocessed,A1-11.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22205,47324.3246881333,62.401951258838565,62.401947919729395,-1.6428430095557947e-07,0.004541853909504364,0.004541853912475545,0.01575124275958211,0.7579814368375151,0.5237386616542566,14.233660390032602,vmd,3,1,800,1.328238737202244e-05,1.392375928659796e-10,0.3256512865749778
A1-13.1_preprocessed,A1-13.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,22296,47385.57036315931,58.884577737169344,58.88448418868694,3.819787277281102e-07,0.005014364535740001,0.005014364550288978,0.03842787958158603,0.7085346280903853,0.48223508450497526,9.161152485351085,vmd,3,1,800,0.00013302747389698754,1.204670023121295e-10,0.31198117508743084
A1-14.1_preprocessed,A1-14.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,8728,47345.13846282081,64.47016866505582,64.47004521515491,9.140085664686156e-07,0.06325170505313993,0.0632517050597438,0.9699663304969628,0.7572097218179922,0.4863142539956802,4.169749421281447,vmd,3,1,800,7.032785771094602e-05,3.194693154989278e-10,0.3234559576301611
A1-15.1_preprocessed,A1-15.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,27940,47335.822255762345,60.12764248506554,60.12764012668952,-3.101324838772371e-07,0.004707053840308393,0.004707053850525204,0.017515497479920157,0.7252918223405986,0.45997817377051053,6.978230198202496,vmd,3,1,800,1.1295967520014043e-05,1.024958219140708e-10,0.32422066811622474
A1-16.1_preprocessed,A1-16.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,21424,47363.788944104745,65.19537467712472,65.19535759082135,2.8040952501069065e-07,0.005148184486400222,0.005148184494036847,0.023389023848637166,0.7332192655430962,0.5649998666337059,13.805535441140693,vmd,3,1,800,5.7477193292048354e-05,1.608568840440675e-10,0.3220702404036262
A1-17.1_preprocessed,A1-17.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,1936,47340.415016270665,52.98488136090471,52.984598171921306,-4.516786482524921e-06,0.051507215077192234,0.05150721527523595,0.3328622578462968,0.8573375381566314,0.6267878442921081,4.636636552408299,vmd,3,1,800,0.00012372730756888338,6.053976222213415e-10,0.32949076530961025
A1-18.1_preprocessed,A1-18.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,20036,47384.59730999201,62.781410407000735,62.78138535680564,2.7262079644587427e-07,0.00492897601605258,0.004928976023591884,0.031526703405601944,0.7316516196030017,0.6940951288221502,29.524365759756556,vmd,3,1,800,6.961101103560484e-05,1.5246303471271574e-10,0.3209301482086619
A1-19.1_preprocessed,A1-19.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,3317,47381.21892447996,62.988178145926724,62.98794581431348,-2.994266205607565e-07,0.08258530774779117,0.08258530774833399,0.6531245913172533,0.6894301340199624,0.3989013064753593,3.6101091795530524,vmd,3,1,800,6.760562519674167e-05,5.636623771203555e-10,0.3154087096412263
A1-2.1_preprocessed,A1-2.1_preprocessed__single_channel.csv,vmd,D:\桌面\朝闻道\202604\华堪数据\实验代码\data\processed\single_channel,signal,19417,47330.99262901065,64.28820162657205,64.28819618756414,-1.30547295201105e-07,0.004846018288537943,0.004846018290296356,0.017460865133817796,0.7341489334762451,0.47459092405366904,6.029078440713969,vmd,3,1,800,2.2410756217174564e-05,1.6669376659531407e-10,0.32227331935445797
