sample_index,axis,baseline_distance,signal,background_estimate,residual,residual_smoothed,local_scale,normalized_residual,enhanced_response,abs_residual,denoised_signal,wavelet_background
0,2.147,1.4999999974071518,47293.505000000005,47293.78971397049,-0.2122935366787715,-0.1700910229832516,0.38404697836320245,-0.4428911892711012,0.4428911892711012,0.2122935366787715,47293.57742043381,47293.78971397049
2,2.10522106481482,1.4999999933984844,47293.552500000005,47293.76830080575,-0.1952577516422025,-0.15640436263371763,0.37132265191459574,-0.4212087838629641,0.4212087838629641,0.1952577516422025,47293.57304305411,47293.76830080575
3,2.06675,1.5000000025936977,47293.549,47293.74720741123,-0.17410329269478098,-0.14274941503702263,0.35859832546598913,-0.3980760781621707,0.3980760781621707,0.17410329269478098,47293.573104118535,47293.74720741123
4,2.12611053240741,1.4999999973188871,47293.4335,47293.726620616486,-0.14866527415870223,-0.12985436575218046,0.35780288062734705,-0.3629215212703227,0.3629215212703227,0.14866527415870223,47293.57795534233,47293.726620616486
5,2.04583333333333,1.50000000051171,47293.577,47293.70426702347,-0.12013525974180084,-0.1176211704158858,0.3570074357887051,-0.32946420333244797,0.32946420333244797,0.12013525974180084,47293.58413176373,47293.70426702347
6,2.1005,1.4999999958225436,47293.526,47293.68075829166,-0.08797106088604778,-0.09445235673208824,0.35394008828289103,-0.2668597309514033,0.2668597309514033,0.08797106088604778,47293.59278723077,47293.68075829166
7,2.121,1.5000000012907715,47293.5015,47293.662587832645,-0.060819729456852656,-0.07129571671329257,0.350872740777077,-0.2031953709353258,0.2031953709353258,0.060819729456852656,47293.60176810319,47293.662587832645
8,2.10866666666667,1.4999999948589218,47293.4855,47293.65014324328,-0.03958902075828519,-0.04846814010266422,0.3391595282692889,-0.14290661491951673,0.14290661491951673,0.03958902075828519,47293.61055422252,47293.65014324328
9,2.09308333333333,1.5000000005383851,47293.4855,47293.64080259022,-0.019755607725528535,-0.02681320557975495,0.32744631576150085,-0.08188580628063821,0.08188580628063821,0.019755607725528535,47293.621046982495,47293.64080259022
10,2.11,1.4999999987241974,47293.627,47293.636368120395,-0.003774213524593506,-0.006936947137647722,0.3281306327831766,-0.021140809313684356,0.021140809313684356,0.003774213524593506,47293.63259390687,47293.636368120395
