sample_index,axis,baseline_distance,signal,detection_score,is_candidate
0,10.8655872754761,1.4999999962971258,47410.9705,0.0,False
1,10.8387733838997,1.4999999997577746,47411.03,0.0,False
2,10.8117674183816,1.5000000003129337,47411.052500000005,0.0,False
3,10.7845830734423,1.499999999211752,47411.117,0.0,False
4,10.7572342587707,1.500000001822794,47411.262,0.0,False
5,10.7297350802447,1.5000000067117958,47411.217,0.0,False
6,10.7020998207723,1.499999995447887,47411.3465,0.0,False
7,10.6743429164163,1.50000000513923,47411.3425,0.0,False
8,10.6464789315245,1.4999999946013705,47411.381,0.0,False
9,10.6185225376709,1.5000000027808256,47411.3855,0.0,False
10,10.5904884906583,1.5000000024186704,47411.427,0.0,False
11,10.5623916096155,1.500000005719144,47411.459,0.0,False
12,10.534246751761,1.4999999973158569,47411.4,0.0,False
13,10.5060687952342,1.5000000042862829,47411.5985,0.0,False
14,10.4778726156362,1.4999999989579729,47411.543000000005,0.0,False
15,10.44967306754,1.4999999986961698,47411.6685,0.0,False
16,10.4214849672313,1.4999999985293828,47411.617,0.0,False
17,10.3933230711871,1.500000001677979,47411.821,0.0,False
18,10.3652020555488,1.5000000018206732,47411.704,0.0,False
19,10.3371365008203,1.500000007467066,47411.8475,0.0,False
20,10.3091408792522,1.5000000010537615,47411.7845,0.0,False
21,10.2812295289281,1.4999999991000557,47411.986,0.0,False
22,10.2534166310068,1.500000005169464,47411.8995,0.0,False
23,10.2257162071455,1.5000000009967405,47412.128,0.0,False
24,10.198142101072,1.499999998788821,47412.1135,0.0,False
25,10.1707079625626,1.5000000031022334,47412.2145,0.0,False
26,10.1434272290603,1.4999999980168413,47412.25,0.0,False
27,10.1163131130544,1.5000000018215067,47412.336,0.0,False
28,10.0893785918198,1.500000002497181,47412.3375,0.0,False
29,10.0626363867694,1.500000000775655,47412.436,0.0,False
30,10.0360989590021,1.500000001316419,47412.585,0.0,False
31,10.0097784954033,1.5000000009674712,47412.5215,0.0,False
32,9.98368688528148,1.5000000006628371,47412.6065,0.0,False
33,9.95783571083645,1.4999999937935058,47412.654,0.0,False
34,9.93223623090929,1.5000000022264328,47412.643,0.0,False
35,9.90689937717369,1.5000000030304597,47412.7555,0.0,False
36,9.88183573574165,1.500000008319272,47412.8915,0.0,False
37,9.85705553669617,1.4999999966499358,47412.933000000005,0.0,False
38,9.8325686487567,1.5000000082225555,47412.946,0.0,False
39,9.80838456280084,1.4999999927252157,47412.989,0.0,False
40,9.78451237434144,1.500000005037953,47413.159,0.0,False
41,9.76096076967597,1.5000000043694734,47413.172,0.0,False
42,9.73773801000727,1.4999999974701936,47413.261,0.0,False
43,9.71485192291444,1.5000000042524564,47413.226,0.0,False
44,9.69230989079349,1.499999995074173,47413.201,0.0,False
45,9.67011883622681,1.500000004809144,47413.2375,0.0,False
46,9.64828519991737,1.499999999755576,47413.3545,0.0,False
47,9.62681493398107,1.5000000054395748,47413.3165,0.0,False
48,9.60571349030875,1.5000000009879482,47413.457,0.0,False
49,9.58498581170289,1.5000000023827036,47413.486,0.0,False
50,9.56463631829942,1.4999999950115286,47413.415,0.0,False
51,9.54466889475905,1.500000004309077,47413.5735,0.0,False
52,9.52508687913708,1.5000000030346634,47413.568,0.0,False
53,9.5058930553336,1.4999999983299337,47413.6985,0.0,False
54,9.48708964614465,1.4999999980540544,47413.692500000005,0.0,False
55,9.4686782993773,1.4999999947381637,47413.712,0.0,False
56,9.45066007478008,1.500000000175962,47413.826,0.0,False
57,9.4330354352419,1.4999999946790223,47413.8585,0.0,False
58,9.41580424345166,1.4999999967080233,47413.894,0.0,False
59,9.39896576191573,1.5000000013327806,47414.0095,0.0,False
60,9.38251864190116,1.5000000023074431,47413.9695,0.0,False
61,9.36646091637084,1.4999999957766674,47414.093,0.0,False
62,9.35078999676529,1.4999999992354347,47414.03049999999,0.0,False
63,9.33550267397255,1.499999999681802,47414.105500000005,0.0,False
64,9.32059511651576,1.4999999964499382,47414.073,0.0,False
65,9.30606286774023,1.500000001901677,47414.2185,0.0,False
66,9.29190084753201,1.4999999978217895,47414.283,0.0,False
67,9.27810335377719,1.5000000007214165,47414.4245,0.0,False
68,9.26466407036683,1.4999999959562358,47414.4445,0.0,False
69,9.25157607710124,1.5000000039255317,47414.408,0.0,False
70,9.23883185464822,1.4999999907816948,47414.4915,0.0,False
71,9.22642329832241,1.49999999595313,47414.5225,0.0,False
72,9.21434172719989,1.4999999964201234,47414.5755,0.0,False
73,9.20257789412974,1.5000000038824033,47414.5585,0.0,False
74,9.19112199425019,1.5000000027763651,47414.6605,0.0,False
75,9.1799636825199,1.4999999984516614,47414.652,0.0,False
76,9.16909209501329,1.4999999985972945,47414.7415,0.0,False
77,9.15849586657494,1.499999994141546,47414.787,0.0,False
78,9.14816315029409,1.499999990943894,47414.874500000005,0.0,False
79,9.13808163714838,1.500000003446416,47414.9375,0.0,False
80,9.12823857074929,1.4999999958969448,47414.9265,0.0,False
81,9.11862076964243,1.5000000009309906,47415.022,0.0,False
82,9.10921464659725,1.500000008485096,47415.1935,0.0,False
83,9.10000623553704,1.4999999926704866,47415.1305,0.0,False
84,9.09098122199123,1.5000000062170418,47415.297,0.0,False
85,9.08212497275662,1.4999999993000848,47415.242,0.0,False
86,9.073422564442,1.5000000006420964,47415.383,0.0,False
87,9.06485880808327,1.5000000031978773,47415.4555,0.0,False
88,9.05641828590407,1.5000000031812606,47415.5755,0.0,False
89,9.04808538221887,1.500000001187363,47415.517,0.0,False
90,9.03984431292521,1.4999999977221743,47415.691,0.0,False
91,9.03167916308788,1.5000000056826903,47415.5995,0.0,False
92,9.02357391801416,1.4999999987185897,47415.7975,0.0,False
93,9.01551250099392,1.500000006041985,47415.7085,0.0,False
94,9.00747881479862,1.4999999959118198,47415.872,0.0,False
95,8.99945676354051,1.4999999981467365,47415.863,0.0,False
96,8.99143029469957,1.499999992059114,47415.994,0.0,False
97,8.98338343468409,1.5000000045982824,47415.8985,0.0,False
98,8.97530032277624,1.5000000008781849,47416.128,0.0,False
99,8.96716525057084,1.499999998971287,47416.0625,0.0,False
100,8.9589626909054,1.500000001767796,47416.178,0.0,False
101,8.95067734459856,1.5000000004266731,47416.167,0.0,False
102,8.94229416918799,1.5000000066569723,47416.194,0.0,False
103,8.93379841941323,1.4999999961472363,47416.3755,0.0,False
104,8.92517568402958,1.5000000010574936,47416.423,0.0,False
105,8.91641191868533,1.5000000008386416,47416.5165,0.0,False
106,8.90749348327548,1.5000000050231213,47416.507,0.0,False
107,8.89840716736822,1.4999999939123194,47416.591,0.0,False
108,8.88914022720898,1.5000000025614633,47416.5725,0.0,False
109,8.87968041809959,1.4999999997916202,47416.7055,0.0,False
110,8.87001601869898,1.4999999960501849,47416.6525,0.0,False
111,8.86013586929298,1.500000000710064,47416.715,0.0,False
112,8.85002938529984,1.5000000024075093,47416.743,0.0,False
113,8.8396865860018,1.4999999972606772,47416.87699999999,0.0,False
114,8.82909812376414,1.5000000083578198,47416.862,0.0,False
115,8.81825530249348,1.4999999962532675,47416.9205,0.0,False
116,8.80715010847646,1.5000000082203129,47417.005000000005,0.0,False
117,8.79577522356382,1.5000000023216138,47416.988,0.0,False
118,8.78412404454676,1.500000003039755,47417.0575,0.0,False
119,8.77219069875266,1.5000000070720736,47417.12,0.0,False
120,8.75997005697392,1.5000000038625922,47417.1515,0.0,False
121,8.7474577438186,1.4999999951354592,47417.1755,0.0,False
122,8.73465013859601,1.499999995390071,47417.1675,0.0,False
123,8.72154438545748,1.4999999976777614,47417.2565,0.0,False
124,8.70813839585469,1.4999999931888006,47417.2785,0.0,False
125,8.69443085648532,1.499999996422113,47417.364,0.0,False
126,8.68042122826871,1.4999999989962085,47417.2795,0.0,False
127,8.66610974423578,1.5000000049455189,47417.4635,0.0,False
128,8.65149740997478,1.500000006335934,47417.366,0.0,False
129,8.63658599433598,1.5000000062893892,47417.4255,0.0,False
130,8.62137802997872,1.5000000019951325,47417.5115,0.0,False
131,8.60587680450905,1.5000000021977695,47417.475,0.0,False
132,8.59008635216147,1.500000007766969,47417.4235,0.0,False
133,8.57401145280891,1.50000000124834,47417.521,0.0,False
134,8.55765761238703,1.4999999936916637,47417.5505,0.0,False
135,8.54103105075199,1.4999999999284577,47417.4885,0.0,False
136,8.52413867939076,1.4999999961507406,47417.4355,0.0,False
137,8.50698808205827,1.500000005328785,47417.571,0.0,False
138,8.48958749719397,1.4999999999264928,47417.441,0.0,False
139,8.47194579415954,1.499999991194579,47417.5155,0.0,False
140,8.45407245051951,1.499999996637799,47417.475000000006,0.0,False
141,8.43597752763164,1.4999999999636096,47417.512,0.0,False
142,8.41767164879979,1.5000000004220089,47417.456,0.0,False
143,8.39916596694263,1.500000004401728,47417.639,0.0,False
144,8.38047213245739,1.49999999986667,47417.5445,0.0,False
145,8.36160227136633,1.4999999993404745,47417.649000000005,0.0,False
146,8.34256895017358,1.499999997329165,47417.543000000005,0.0,False
147,8.32338514828475,1.5000000034907277,47417.589,0.0,False
148,8.30406421931531,1.499999999271515,47417.599,0.0,False
149,8.28461985886617,1.499999998340903,47417.6225,0.0,False
150,8.26506606357814,1.4999999995521889,47417.6565,0.0,False
151,8.2454170915149,1.5000000030173926,47417.6855,0.0,False
152,8.22568742823874,1.4999999936509556,47417.6715,0.0,False
153,8.20589175123756,1.500000001216928,47417.687,0.0,False
154,8.18604489976489,1.5000000012038643,47417.6755,0.0,False
155,8.16616183097703,1.499999997573521,47417.7105,0.0,False
156,8.14625758076038,1.4999999992909403,47417.789,0.0,False
157,8.12634722922671,1.4999999912510742,47417.803,0.0,False
158,8.10644586363393,1.5000000031661078,47417.8015,0.0,False
159,8.08656854549314,1.499999997947203,47417.7755,0.0,False
160,8.06673026396046,1.4999999994551,47417.807,0.0,False
161,8.04694590897991,1.4999999931876289,47417.937,0.0,False
162,8.02723023600406,1.499999998545297,47417.981,0.0,False
163,8.0075978282616,1.4999999951487466,47417.922000000006,0.0,False
164,7.98806306353588,1.499999999186245,47418.068,0.0,False
165,7.96864007340146,1.4999999969041864,47418.063,0.0,False
166,7.94934271406746,1.4999999945794051,47418.077000000005,0.0,False
167,7.93018453405216,1.4999999977545009,47418.1735,0.0,False
168,7.91117873985169,1.500000004661269,47418.1805,0.0,False
169,7.89233817235243,1.5000000035359748,47418.2585,0.0,False
170,7.87367527604828,1.4999999940217454,47418.204,0.0,False
171,7.85520207109481,1.4999999949252525,47418.3775,0.0,False
172,7.83693012336786,1.5000000069855688,47418.2615,0.0,False
173,7.81887051942698,1.5000000030467309,47418.414,0.0,False
174,7.80103383759048,1.500000001501094,47418.3645,0.0,False
175,7.78343012692038,1.4999999980221812,47418.378,0.0,False
176,7.76606889085879,1.5000000043268813,47418.425,0.0,False
177,7.74895907078644,1.4999999959535877,47418.544,0.0,False
178,7.73210903229445,1.5000000082258915,47418.626,0.0,False
179,7.71552655048158,1.4999999993579682,47418.652,0.0,False
180,7.69921879430223,1.499999999801105,47418.6295,0.0,False
181,7.68319231045958,1.499999999537444,47418.577000000005,0.0,False
182,7.6674530056987,1.4999999954014676,47418.6275,0.0,False
183,7.65200613725134,1.4999999935401909,47418.7415,0.0,False
184,7.63685629798645,1.50000000197922,47418.788,0.0,False
185,7.6220074161048,1.4999999946983709,47418.821500000005,0.0,False
186,7.60746275162684,1.5000000039029997,47418.84,0.0,False
187,7.59322488665416,1.4999999957212606,47418.8335,0.0,False
188,7.57929571956387,1.5000000000066565,47418.8725,0.0,False
189,7.56567646211772,1.499999998147719,47418.8435,0.0,False
190,7.55236764045979,1.500000004298474,47419.042,0.0,False
191,7.53936909923959,1.4999999970382132,47418.8905,0.0,False
192,7.52668000101004,1.5000000060408494,47418.929,0.0,False
193,7.51429882692261,1.4999999934768804,47419.0665,0.0,False
194,7.50222337779101,1.5000000063021697,47418.981,0.0,False
195,7.49045077922029,1.5000000001078009,47419.066,0.0,False
196,7.47897748766845,1.5000000073638031,47419.117,0.0,False
197,7.46779930249226,1.5000000006347545,47419.077000000005,0.0,False
198,7.45691137216286,1.4999999991827797,47419.2375,0.0,False
199,7.4463082065884,1.4999999985552253,47419.18949999999,0.0,False
200,7.43598369221084,1.499999993965652,47419.264500000005,0.0,False
201,7.42593110323543,1.5000000003252645,47419.2405,0.0,False
202,7.41614311138211,1.4999999965415796,47419.275,0.0,False
203,7.40661180192732,1.5000000056508738,47419.3175,0.0,False
204,7.39732869039146,1.4999999980546836,47419.264500000005,0.7338846924409778,False
205,7.38828474419092,1.5000000073243138,47419.349,0.857197203689413,False
206,7.37947038881511,1.499999997965546,47419.3775,0.8524813763675748,False
207,7.37087552883376,1.499999998825119,47419.403,0.8196936311322804,False
208,7.36248956164246,1.4999999997203506,47419.368,0.6869813289602108,False
209,7.35430139546917,1.499999999207298,47419.34,0.5901794144625,False
210,7.3462994691934,1.5000000064999617,47419.5325,0.5620756328062817,False
211,7.33847176982989,1.499999995143278,47419.5175,0.5027454271229413,False
212,7.33080585198513,1.500000004011917,47419.5215,0.42311804582424356,False
213,7.32328885924778,1.5000000073510975,47419.5105,0.44239558311464444,False
214,7.31590754626462,1.49999999181925,47419.571500000005,0.2946117517667889,False
215,7.30864830861931,1.5000000037477486,47419.5825,0.3941539443765084,False
216,7.30149720487553,1.4999999975307514,47419.573,0.4262725519610935,False
217,7.29443998346756,1.500000004818421,47419.6815,0.45839115954567855,False
