sample_index,axis,baseline_distance,signal,detection_score,is_candidate
0,2.44150872539943,1.4999999993192124,47407.222,0.0,False
1,2.4395432659129,1.4999999919869265,47407.1865,0.0,False
2,2.43749026756462,1.5000000013362842,47407.3835,0.0,False
3,2.43534570172651,1.5000000044670967,47407.373,0.0,False
4,2.43310568501961,1.5000000013899204,47407.429,0.0,False
5,2.43076650034151,1.4999999949934133,47407.549,0.0,False
6,2.42832460509854,1.4999999981969634,47407.521,0.0,False
7,2.42577664844193,1.5000000037778776,47407.523,0.0,False
8,2.42311949127336,1.5000000015515378,47407.600000000006,0.0,False
9,2.42035022288376,1.5000000024247473,47407.691,0.0,False
10,2.41746617706872,1.5000000022068514,47407.8005,0.0,False
11,2.4144649502744,1.499999996501917,47407.823,0.0,False
12,2.41134441709991,1.4999999967367754,47407.8045,0.0,False
13,2.40810273832147,1.4999999978254128,47407.8485,0.0,False
14,2.40473837202096,1.500000001622002,47407.9325,0.0,False
15,2.40125009145056,1.4999999945614126,47407.9775,0.0,False
16,2.39763699879022,1.4999999979189813,47407.933,0.0,False
17,2.39389854246244,1.5000000087317291,47408.057,0.0,False
18,2.39003452868667,1.5000000062405283,47408.1255,0.0,False
19,2.38604512602805,1.5000000010816383,47408.1405,0.0,False
20,2.38193086729892,1.4999999969220412,47408.2105,0.0,False
21,2.37769265610214,1.5000000040002763,47408.31,0.0,False
22,2.37333177898915,1.5000000023478657,47408.3265,0.0,False
23,2.36884991038758,1.5000000005741916,47408.4225,0.0,False
24,2.36424911505048,1.4999999982480716,47408.361,0.0,False
25,2.35953185855597,1.5000000018599724,47408.507,0.0,False
26,2.35470101011888,1.5000000028387588,47408.5245,0.0,False
27,2.34975984440683,1.4999999963752335,47408.705,0.0,False
28,2.3447120382922,1.4999999985868395,47408.7635,0.0,False
29,2.33956167316157,1.4999999937573534,47408.692,0.0,False
30,2.33431323369987,1.499999995031273,47408.7805,0.0,False
31,2.32897160404151,1.5000000066151278,47408.8295,0.0,False
32,2.32354205980614,1.499999993790048,47408.868,0.0,False
33,2.31803026629497,1.4999999982949408,47408.937,0.0,False
34,2.31244226919513,1.5000000029421316,47409.011,0.0,False
35,2.30678447947098,1.500000003050099,47408.991,0.0,False
36,2.30106366233871,1.4999999981321583,47409.0205,0.0,False
37,2.29528691767467,1.5000000014209185,47409.1375,0.0,False
38,2.28946166777225,1.5000000040018284,47409.169,0.0,False
39,2.28359564641487,1.5000000019761928,47409.1665,0.0,False
40,2.27769687755706,1.5000000006997776,47409.2315,0.0,False
41,2.27177366137124,1.4999999994151905,47409.2355,0.0,False
42,2.26583454938599,1.4999999977120329,47409.267,0.0,False
43,2.25988832930497,1.5000000011534338,47409.3195,0.0,False
44,2.25394400280716,1.499999997716721,47409.4255,0.0,False
45,2.24801075905901,1.4999999926724965,47409.447,0.0,False
46,2.24209795708716,1.4999999966316084,47409.4445,0.0,False
47,2.23621509923706,1.5000000038883752,47409.5645,0.0,False
48,2.23037181536246,1.499999997578629,47409.6035,0.0,False
49,2.2245778346395,1.4999999932908998,47409.67,0.0,False
50,2.21884295198847,1.5000000075814584,47409.5895,0.0,False
51,2.21317700794815,1.4999999951582423,47409.6745,0.0,False
52,2.20758985687387,1.5000000039671364,47409.72,0.0,False
53,2.2020913530721,1.499999993883918,47409.807,0.0,False
54,2.19669131754009,1.5000000033973382,47409.9205,0.0,False
55,2.1913995179975,1.4999999955037968,47409.8085,0.0,False
56,2.18622564625838,1.4999999935076158,47409.9505,0.0,False
57,2.18117929147445,1.499999999713765,47409.846000000005,0.0,False
58,2.1762699188997,1.4999999996755111,47409.9835,0.0,False
59,2.1715068404965,1.5000000003420888,47410.0995,0.0,False
60,2.16689919577429,1.500000009426593,47410.07,0.0,False
61,2.16245593406262,1.4999999931932992,47410.133,0.0,False
62,2.1581857859955,1.5000000019658009,47410.1225,0.0,False
63,2.15409725113878,1.499999995759587,47410.105500000005,0.0,False
64,2.15019856624178,1.4999999938032442,47410.143,0.0,False
65,2.14649769031918,1.499999996276555,47410.313,0.0,False
66,2.14300228994011,1.4999999970950124,47410.348,0.0,False
67,2.13971971410876,1.5000000004879066,47410.259,0.0,False
68,2.13665698197352,1.5000000021146165,47410.2775,0.0,False
69,2.13382076787697,1.4999999946110003,47410.3955,0.0,False
70,2.1312173883032,1.500000000027297,47410.3815,0.0,False
71,2.12885279409998,1.4999999935021382,47410.3885,0.0,False
72,2.12673255335641,1.5000000012938492,47410.4425,0.0,False
73,2.12486184170618,1.500000005377032,47410.517,0.0,False
74,2.12324543536339,1.4999999991776585,47410.548,0.0,False
75,2.1218877053698,1.5000000072254407,47410.612,0.0,False
76,2.12079261371678,1.5000000003147202,47410.5465,0.0,False
77,2.11996370509008,1.5000000037417551,47410.566000000006,0.0,False
78,2.11940411178397,1.5000000054391802,47410.716,0.0,False
79,2.11911655200805,1.5000000000933875,47410.7205,0.0,False
80,2.11910332717087,1.5000000005828922,47410.8075,0.0,False
81,2.11936632007821,1.500000005724335,47410.761,0.0,False
82,2.11990699398446,1.4999999946595552,47410.759000000005,0.0,False
83,2.12072639755193,1.4999999995788718,47410.859,0.0,False
84,2.12182516409931,1.499999995243381,47410.879,0.0,False
85,2.12320352174285,1.5000000002969955,47410.997,0.0,False
86,2.12486130138033,1.5000000016197623,47410.9295,0.0,False
87,2.12679794253077,1.500000005494987,47411.015,0.0,False
88,2.12901250655679,1.49999999320206,47411.059,0.0,False
89,2.13150368763119,1.5000000060766296,47411.1045,0.0,False
90,2.13426982931247,1.5000000002329028,47411.1225,0.0,False
91,2.13730893572102,1.4999999995973774,47411.2385,0.0,False
92,2.14061868076574,1.5000000036012748,47411.312000000005,0.0,False
93,2.14419642554499,1.5000000017416746,47411.257,0.0,False
94,2.14803923286313,1.500000001233632,47411.295,0.0,False
95,2.15214388309662,1.4999999936206512,47411.3225,0.0,False
96,2.15650688848218,1.4999999928362266,47411.373,0.0,False
97,2.16112450938696,1.4999999942529545,47411.4515,0.0,False
98,2.16599277156504,1.500000000928851,47411.506,0.0,False
99,2.17110748351029,1.5000000080317988,47411.502,0.0,False
100,2.17646425271516,1.4999999932387684,47411.4905,0.0,False
101,2.18205850448396,1.5000000076152424,47411.532,0.0,False
102,2.18788549017366,1.50000000013899,47411.6095,0.0,False
103,2.19394030440975,1.5000000009420935,47411.6465,0.0,False
104,2.20021790196723,1.4999999993034194,47411.7785,0.0,False
105,2.20671311597507,1.500000002126232,47411.6475,0.0,False
106,2.21342067376633,1.5000000053639908,47411.775,0.0,False
107,2.22033520323902,1.500000001700853,47411.836500000005,0.0,False
108,2.22745125033577,1.5000000061532537,47411.7695,0.0,False
109,2.23476329368787,1.5000000061966663,47411.877,0.0,False
110,2.24226575853338,1.4999999987405268,47411.908500000005,0.0,False
111,2.24995302907382,1.5000000043153567,47411.928,0.0,False
112,2.25781945663051,1.4999999951867726,47411.847,0.0,False
113,2.26585936788812,1.5000000024251834,47411.87,0.0,False
114,2.27406706267873,1.4999999996819022,47411.983,0.0,False
115,2.28243682829308,1.4999999969587916,47411.9115,0.0,False
116,2.29096294637763,1.500000000727837,47411.9755,0.0,False
117,2.29963970165899,1.4999999985273438,47412.0395,0.0,False
118,2.30846139680919,1.4999999959534362,47412.1005,0.0,False
119,2.31742234576915,1.499999998381078,47412.0795,0.0,False
120,2.32651688208167,1.499999994013898,47412.0595,0.0,False
121,2.33573935770923,1.5000000034849563,47412.152,0.0,False
122,2.34508414031799,1.5000000086876648,47412.189,0.0,False
123,2.35454562120738,1.5000000051203506,47412.224,0.0,False
124,2.36411820346552,1.5000000034662986,47412.121,0.0,False
125,2.37379630128658,1.5000000064563344,47412.1885,0.0,False
126,2.38357433719303,1.4999999993451094,47412.343,0.0,False
127,2.39344674650088,1.4999999978811591,47412.285,0.0,False
128,2.40340797401436,1.4999999952755476,47412.3255,0.0,False
129,2.41345246379831,1.499999990908614,47412.388,0.0,False
130,2.42357465732601,1.4999999972381806,47412.447,0.0,False
131,2.43376898461135,1.499999997446911,47412.379,0.0,False
132,2.4440298549675,1.4999999993116864,47412.499,0.0,False
133,2.45435165608536,1.4999999967940336,47412.533,0.0,False
134,2.46472875022782,1.5000000084411609,47412.573,0.0,False
135,2.47515547008854,1.4999999976694702,47412.6795,0.0,False
136,2.48562611086358,1.500000006245824,47412.656,0.0,False
137,2.49613492195338,1.499999998563842,47412.7435,0.0,False
138,2.50667609713441,1.500000000696757,47412.815,0.0,False
139,2.51724377571343,1.499999992694575,47412.7385,0.0,False
140,2.52783203953437,1.4999999965876212,47412.723,0.0,False
141,2.53843490803579,1.5000000019640751,47412.9045,0.0,False
142,2.5490463294663,1.500000009551376,47412.892,0.0,False
143,2.5596601812063,1.4999999969771138,47412.905,0.0,False
