candidate_id,start_index,end_index,num_points,axis_start,axis_end,peak_sample_index,peak_axis,peak_score
1,668,675,8,1.987,2.05382638888889,671,2.03231481481481,8.767863017295547
2,713,764,48,2.10908333333333,2.07475,735,2.09927083333333,10.767494492367431
4,1027,1064,32,2.114,2.15958333333333,1045,2.11751041666667,52.538953778083744
5,1557,1833,22,2.543,2.62675,1649,2.56233333333333,13.423553341817263
6,2218,2283,24,2.34516666666667,2.3525,2238,2.316625,45.00411355497574
7,2639,2660,10,2.1145625,2.20883333333333,2654,2.13266666666667,17.461770215939584
8,3016,3042,9,2.2505,2.192625,3020,2.16733333333333,13.653102054693031
10,3524,3780,60,2.24325,2.30161111111111,3609,2.390375,12.788291284862964
11,8945,9038,38,2.142625,2.02175,9013,2.12875925925926,16.952563839049915
12,9890,9977,27,2.3,2.38445833333333,9918,2.46083333333333,11.27807878554836
14,12947,13013,16,2.315,2.48483333333333,12989,2.37736111111111,10.537452624627345
15,16642,17138,135,2.14783333333333,2.84429166666667,16998,2.49825,25.260532259012113
